count,max,warehouse_id,dst_office_id,office_name,pickup_latitude,pickup_longitude
986,2023-04-24,507,205403,"Москва, Москва, улица Большие Каменщики, 21/8",55.735535,37.657553
764,2023-04-24,507,210627,МСК Рязанский Проспект 2/1к4,55.72706,37.739828
670,2023-04-24,507,113148,МО Пушкино Тургеневская 7А,55.977975,37.821403
594,2023-04-24,507,109297,МСК Яблочкова 25к4,55.821408,37.57617
693,2023-04-24,507,5401,МО Домодедово Курыжова 3,55.40480926,37.76595957
468,2023-04-24,507,2998,МО Серпухов площадь 49-й Армии 9,54.911963,37.393218
103,2023-04-24,507,204586,МСК Фадеева 6с1,55.77557,37.598447
237,2023-04-24,507,203739,МСК Аминьевское шоссе 26А,55.716519,37.452767
730,2023-04-24,507,2561,МО Мытищи Советская 2А,55.97782815,37.74809953
361,2023-04-24,507,2337,МСК Народного Ополчения 8,55.77104172,37.47682883
391,2023-04-24,507,3536,Балашиха пр-кт Ленина 32Д,55.797893,37.964169
307,2023-04-24,507,107243,МО Ногинск-9 Маршала Малиновского 7,56.078526,38.504192
561,2023-04-24,507,5374,МСК Бехтерева 31к4,55.6217444,37.64704569
95,2023-04-24,507,100641,МО Балашиха Восточное шоссе 22,55.757101,38.071207
611,2023-04-24,507,103029,МСК Южнобутовская 117,55.532276,37.519635
540,2023-04-24,507,103850,МО Лыткарино Степана Степанова 4,55.587157,37.912498
379,2023-04-24,507,204873,"Москва, Москва, улица Эдварда Грига, 17",55.555586,37.50869
738,2023-04-24,507,103552,МСК 2-я Пугачёвская 10к1,55.792923,37.728951
396,2023-04-24,507,109877,МСК Душинская 16,55.745793,37.705027
940,2023-04-24,507,679,МСК Клязьминская 15,55.888982,37.52563
631,2023-04-24,507,126697,МСК Алтуфьевское шоссе 22Б,55.860989,37.585616
459,2023-04-24,507,113142,МО пос Лесные Поляны Ленина 2Б,55.957296,37.86247
221,2023-04-24,507,204436,МСК Нарвская 5А,55.832457,37.504487
742,2023-04-24,507,5554,МСК Свободный пр-кт 9В,55.76471329,37.82481931
689,2023-04-24,507,2201,МСК пос Коммунарка Александры Монаховой 96к2,55.541011,37.486107
365,2023-04-24,507,836,МСК Краснопрудная 28,55.779506,37.667423
272,2023-04-24,507,105022,МО д Гребнево Лучистая 3,55.95837,38.073043
664,2023-04-24,507,3460,МСК Грина 15,55.5688104,37.56367096
719,2023-04-24,507,2038,МСК улица Плющиха д. 26/2,55.7426682,37.57718697
727,2023-04-24,507,111478,МСК Краснодонская 12,55.68122,37.748764
747,2023-04-24,507,173053,МО Мытищи Мира 39,55.919841,37.718741
423,2023-04-24,507,590,МО Дубна 9 Мая 7В,56.729818,37.149811
751,2023-04-24,507,126756,МСК Большая Марфинская 4к7,55.827364,37.5976
456,2023-04-24,507,1619,МСК пр Стратонавтов 9,55.82606828,37.43580439
473,2023-04-24,507,106176,МСК Петрозаводская 34,55.867556,37.489133
676,2023-04-24,507,1704,МСК Средняя Первомайская 28,55.79495073,37.80876898
706,2023-04-24,507,110204,МСК Открытое шоссе 24к12,55.823807,37.75801
730,2023-04-24,507,110926,МСК Сиреневый бульвар 21,55.8032,37.791472
